Price,Close,High,Low,Open,Volume,Year,Month,Day
Ticker,GS,GS,GS,GS,GS,,,
Date,,,,,,,,
2023-03-21,300.9173889160156,303.8006196180449,299.08692888431625,301.239851128045,3242400,2023,3,21
2023-03-22,297.49359130859375,305.6026437053442,297.32285217504995,300.91740442694646,2505900,2023,3,22
2023-03-23,298.61273193359375,304.7869820539865,296.5167129621544,298.95415231537015,2585900,2023,3,23
2023-03-24,296.4503479003906,296.62105810963834,289.61215654460153,294.1551378489946,2456700,2023,3,24
2023-03-27,302.1029357910156,304.35070675593755,300.81308689479135,302.18829088470034,2300600,2023,3,27
2023-03-28,302.0175476074219,304.0756210650617,299.8171867321555,302.6340202900966,1224300,2023,3,28
2023-03-29,304.17999267578125,306.06735614738625,302.2451904124642,305.8681942646707,1475900,2023,3,29
2023-03-30,304.5783386230469,308.1159583603816,303.38330946580214,307.8219478445104,1456300,2023,3,30
2023-03-31,310.24041748046875,310.44907289795407,305.7923146625241,306.7881529610399,2281100,2023,3,31
2023-04-03,309.680908203125,312.01406349016605,306.4847083267155,309.3205296337298,1808800,2023,4,3
2023-04-04,306.0104675292969,310.01283718976515,303.61094444252575,309.96542733950486,1536800,2023,4,4
2023-04-05,304.9482116699219,305.5836714943804,302.89960265533074,303.1367097781713,1329300,2023,4,5
2023-04-06,305.77337646484375,306.5605884154945,303.47819544922845,303.85756110248167,1311000,2023,4,6
2023-04-10,308.2013244628906,308.2297761608063,304.73956614568726,305.7733497616129,1114400,2023,4,10
2023-04-11,310.487060546875,312.2227010620442,306.97789215646,309.2351278709732,1559600,2023,4,11
2023-04-12,313.2090148925781,314.9446552356503,310.30682603222647,314.61269947580814,1862400,2023,4,12
2023-04-13,315.00152587890625,315.76975055949555,310.1360836060157,313.0572303126872,1765500,2023,4,13
2023-04-14,319.5445251464844,322.11475813399346,317.0786053951661,319.174624159104,2275700,2023,4,14
2023-04-17,322.1622009277344,322.89250943071886,316.471629662881,318.6719908317891,3012100,2023,4,17
2023-04-18,316.68975830078125,319.1935944457018,309.3109858591831,311.0845424917811,7549500,2023,4,18
2023-04-19,319.5160827636719,319.61090245615844,314.565284967539,315.80772395400953,2625400,2023,4,19
2023-04-20,321.24224853515625,321.81131149370714,317.07866196018523,317.67617661947645,2217900,2023,4,20
2023-04-21,324.0400695800781,324.70395213268586,318.6719610486878,321.51724641519394,2278900,2023,4,21
2023-04-24,326.22149658203125,327.2647738417503,323.9168220062957,324.35309106263486,1966300,2023,4,24
2023-04-25,321.9725341796875,325.75675482755844,320.88181819352855,323.4141351541759,2138200,2023,4,25
2023-04-26,319.2030944824219,323.03475373672757,317.38212796613664,320.1704811352146,2041900,2023,4,26
2023-04-27,323.9831848144531,325.65239931035916,321.2896513192214,322.59848729405917,1768200,2023,4,27
2023-04-28,325.7283020019531,326.35426831527053,322.1811885035636,322.5131153395151,1712500,2023,4,28
2023-05-01,323.0063171386719,329.5409747755498,322.81661985180995,326.30682995762766,1375000,2023,5,1
2023-05-02,316.1775817871094,322.36135368856884,312.98138260184027,321.52673203729904,2397600,2023,5,2
2023-05-03,311.7010498046875,317.5623315347977,311.321684158057,315.2197117635814,1825400,2023,5,3
2023-05-04,304.692138671875,310.11715066267107,302.13137023262635,309.1402704990854,2965100,2023,5,4
2023-05-05,310.15509033203125,310.9612603787425,305.79234220863765,308.29617850027057,2412900,2023,5,5
2023-05-08,309.67138671875,313.2659097540578,308.874710283072,312.63997243896347,1607300,2023,5,8
2023-05-09,308.0210876464844,310.30680361269606,306.6268967108694,308.2771818439624,1253300,2023,5,9
2023-05-10,305.91558837890625,312.90553044603814,302.6245404629836,312.90553044603814,1752200,2023,5,10
2023-05-11,304.17999267578125,305.33707661493526,301.7709761577903,303.17466077137186,1515200,2023,5,11
2023-05-12,303.0229187011719,306.5510740297145,300.955351429302,305.43193529838044,1098800,2023,5,12
2023-05-15,305.46044921875,306.57958817805127,301.6572407344955,303.895547596846,1178200,2023,5,15
2023-05-16,304.2653503417969,306.4088080530491,303.97133981691167,305.86819685165057,1618900,2023,5,16
2023-05-17,313.152099609375,313.351290423962,306.019928063829,306.019928063829,2098100,2023,5,17
2023-05-18,312.5830078125,313.5504232688257,308.8651848300612,312.9813604610582,1645400,2023,5,18
2023-05-19,309.3299560546875,314.8308588377404,308.0401071602939,312.9814116459721,1545600,2023,5,19
2023-05-22,308.1634216308594,310.4586025463551,305.80181482566826,309.32997024013247,1498900,2023,5,22
2023-05-23,306.8829650878906,310.26886121003633,306.16215028710144,306.9114167803567,1550900,2023,5,23
2023-05-24,303.3169250488281,305.2991371979532,302.3590029741046,303.8670298032455,1439100,2023,5,24
2023-05-25,307.17706298828125,308.4100086043876,302.3590294386242,302.4728651846251,1618500,2023,5,25
2023-05-26,314.88775634765625,315.70339096673456,307.2908347813426,307.97370446082857,2718700,2023,5,26
2023-05-30,313.7685852050781,315.3809252186248,310.8284800355081,314.95412081982107,1998600,2023,5,30
2023-05-31,309.5350646972656,312.736498397568,307.5473253013166,311.6088382675188,2938000,2023,5,31
2023-06-01,302.3677062988281,310.28048849651736,300.0932542404268,310.11804430041934,3339700,2023,6,1
2023-06-02,309.2961730957031,310.84432171189025,302.98887611216423,304.12610215277164,3987700,2023,6,2
2023-06-05,307.5377197265625,309.14320470399247,306.1138105796408,308.6080430448491,1462900,2023,6,5
2023-06-06,312.3064270019531,313.52012123953875,307.1459225263172,308.13024091858824,1495600,2023,6,6
2023-06-07,320.85955810546875,322.856863545283,311.84778362180833,313.1092488987847,3382700,2023,6,7
2023-06-08,320.5919189453125,321.4137639780101,316.64507962788787,320.4867822759415,2009500,2023,6,8
2023-06-09,321.1175537109375,321.28959290310723,317.7919098456216,320.3434794206224,1702100,2023,6,9
