day,operate,price,investment,total_balance
149,sell,225.17838221490678,18.49838818253103,6417.4308874593
150,sell,229.7258810512397,20.46824301761775,6647.156768510539
152,buy,232.16749025904,0.0,6414.989278251499
153,sell,223.8728945398892,16.63907211420666,6638.862172791388
154,sell,229.3554242933203,13.222030605677231,6868.217597084708
157,sell,219.07993762629468,13.08357620683883,7087.297534711003
158,buy,224.32363887827094,0.0,6862.9738958327325
160,buy,229.41284815505472,0.0,6633.561047677677
161,buy,227.99024213580628,0.0,6405.570805541871
162,buy,226.86577967444703,0.0,6178.7050258674235
164,buy,229.3804408674714,0.0,5949.324584999952
165,sell,235.57684476994177,12.529220878402004,6184.901429769894
167,sell,232.26820983638387,5.244154805560227,6417.169639606278
168,buy,234.14982751390232,0.0,6183.019812092376
169,sell,233.75078936939707,4.329743477246163,6416.770601461773
171,sell,228.5641808940136,-0.5691500695724877,6645.334782355787
173,sell,230.65958283247238,-1.6632745920547816,6875.9943651882595
174,sell,225.25546073584698,5.122259125109639,7101.2498259241065
175,buy,222.69983254463205,0.0,6878.5499933794745
176,sell,222.61244403373237,1.0688259131954199,7101.162437413207
177,buy,218.71523410569975,0.0,6882.447203307507
178,sell,223.80793004568488,2.143369046191669,7106.255133353192
179,buy,219.41203099684887,0.0,6886.8431023563435
180,buy,224.12896533147446,0.0,6662.714137024869
181,buy,227.9376481958914,0.0,6434.776488828978
183,buy,225.44402814301665,0.0,6209.3324606859605
185,sell,229.0350488467979,8.2710727007516,6438.367509532758
188,sell,228.71329561574953,8.02970324910679,6667.080805148507
189,sell,229.63296543703942,4.357676617333047,6896.713770585547
190,sell,228.50666374239512,1.0467586546690675,7125.220434327942
192,buy,229.840858929638,0.0,6895.379575398304
193,sell,235.94059110871794,5.669808226881268,7131.320166507022
194,sell,239.3676348710705,8.21540330312472,7370.687801378092
196,buy,238.48954949426133,0.0,7132.198251883831
197,sell,241.5678800225435,9.096442000222348,7373.7661319063745
198,sell,247.48032834565547,14.280296340115079,7621.24646025203
201,sell,244.05317270750265,10.437422179505756,7865.2996329595335
202,sell,249.7555800546358,9.044209454556468,8115.05521301417
205,sell,248.89379430568022,9.076778095910687,8363.94900731985
206,sell,244.3262907325443,5.237081410467144,8608.275298052395
207,sell,253.9366764324723,13.20103298175849,8862.211974484868
210,sell,254.7018282166528,11.02334950503987,9116.913802701521
211,sell,254.68187178832193,11.707356158083432,9371.595674489843
213,sell,254.24788235938308,12.069736883292599,9625.843556849226
214,sell,253.23429780952225,10.399254989588597,9879.077854658748
215,sell,243.9817278496148,4.198978252558704,10123.059582508362
216,sell,247.58975000751465,11.176441930145742,10370.649332515877
218,sell,239.09677757745698,9.318758044036073,10609.746110093334
219,sell,242.78494994491655,10.652523857455817,10852.53106003825
221,sell,239.46318250169102,6.841693641666572,11091.994242539942
222,sell,233.01846524729967,2.2290381126692074,11325.012707787242
224,sell,226.63472254322926,0.5281552188453876,11551.647430330471
225,buy,236.8197597400203,0.0,11314.827670590452
227,sell,230.38232408545082,0.23558263675763172,11545.209994675903
228,buy,221.71751885998043,0.0,11323.492475815921
230,sell,227.91426172292654,-4.4342772225284675,11551.406737538848
233,sell,234.92398531025412,-0.8005136192382495,11786.330722849101
234,buy,237.90030845387497,0.0,11548.430414395227
236,sell,237.60760806281868,7.166817166519531,11786.038022458046
238,sell,234.33373667877112,-1.4991875371171925,12020.371759136817
